Age,Gender,Diet Type,Allergies,Goal,Physical Activity Level,Height (cm),Weight (kg),Diet Plan
20,Male,Vegetarian,Shellfish,Weight Gain,Moderate,200,88,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
57,Male,Vegetarian,Lactose,PCOD/PCOS Cure,Sedentary,182,90,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
51,Male,Vegan,Lactose,Weight Gain,Moderate,187,105,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
39,Male,Vegetarian,Shellfish,Muscle Gain,Active,179,57,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
31,Male,Non-Vegetarian,None,Weight Gain,Active,177,78,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
63,Male,Dairy-Free,Nuts,Weight Gain,Active,200,81,"Vegan weight loss plan: Smoothie, Quinoa salad, Lentil soup"
65,Female,Vegan,Gluten,Diabetes Management,Sedentary,152,113,"Dairy-Free weight loss: Oatmeal, Vegan salad, Lentil soup"
43,Male,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Moderate,176,108,"Gluten-Free diabetes plan: Smoothie bowl, Chicken salad, Grilled veggies"
32,Female,Vegan,None,Muscle Gain,Active,166,68,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
30,Female,Non-Vegetarian,Nuts,Weight Gain,Moderate,178,79,"Dairy-Free muscle gain: Nut butter toast, Chickpea curry, Lentils"
30,Female,Vegetarian,Gluten,Diabetes Management,Active,151,116,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
67,Male,Gluten-Free,Lactose,Weight Loss,Active,160,56,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
60,Female,Gluten-Free,Nuts,PCOD/PCOS Cure,Moderate,178,72,"Non-Vegetarian weight loss: Grilled fish, Chicken salad, Vegetable stew"
60,Female,Gluten-Free,None,Weight Loss,Sedentary,187,64,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
65,Female,Vegetarian,Nuts,Muscle Gain,Sedentary,170,105,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
18,Male,Vegan,None,Muscle Gain,Sedentary,165,78,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
70,Female,Non-Vegetarian,Shellfish,Muscle Gain,Sedentary,179,106,"Dairy-Free weight gain: Avocado toast, Grilled tofu, Quinoa bowl"
64,Female,Dairy-Free,Nuts,Weight Loss,Sedentary,177,93,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
51,Female,Non-Vegetarian,Nuts,Weight Gain,Sedentary,193,67,"Vegetarian weight loss: Fruit salad, Spinach soup, Dal rice"
39,Female,Gluten-Free,Nuts,Weight Loss,Active,198,90,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
54,Female,Vegan,Nuts,Diabetes Management,Moderate,150,88,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
47,Female,Vegan,Lactose,Muscle Gain,Moderate,158,106,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
33,Female,Gluten-Free,Lactose,Weight Loss,Moderate,158,103,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
37,Male,Vegan,Shellfish,Diabetes Management,Moderate,183,56,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
37,Male,Non-Vegetarian,None,Diabetes Management,Moderate,172,97,"Non-Vegetarian muscle gain: Eggs, Chicken breast, Salmon"
47,Female,Gluten-Free,None,Weight Gain,Sedentary,175,115,"Vegetarian diabetes plan: Vegetable curry, Spinach soup, Lentils"
61,Male,Non-Vegetarian,Nuts,PCOD/PCOS Cure,Sedentary,192,97,"Gluten-Free weight gain: Quinoa, Chicken breast, Sweet potato"
69,Female,Vegetarian,None,PCOD/PCOS Cure,Sedentary,151,100,"Non-Vegetarian diabetes plan: Egg whites, Grilled chicken, Baked fish"
62,Female,Gluten-Free,Shellfish,Weight Loss,Active,162,87,"Vegan diabetes plan: Green smoothie, Grilled veggies, Lentil curry"
40,Male,Non-Vegetarian,Gluten,PCOD/PCOS Cure,Active,158,50,"Vegan PCOS cure: Smoothie, Chickpea curry, Vegetable soup"
